make,num-of-doors,body-style,num-of-cylinders,horsepower,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,L/100km-mean,
Peugot,four,wagon,four,95,25,25,17075,9.40,9.40,9.40,
Peugot,four,sedan,four,95,28,33,16900,8.39,7.12,7.76,
Peugot,four,wagon,four,95,19,24,16695,12.37,9.79,11.08,
Peugot,four,sedan,four,97,19,24,16630,12.37,9.79,11.08,
Peugot,four,sedan,four,95,19,24,15580,12.37,9.79,11.08,
Peugot,four,wagon,four,95,25,25,13860,9.40,9.40,9.40,
Peugot,four,sedan,four,95,28,33,13200,8.39,7.12,7.76,
Peugot,four,wagon,four,97,19,24,12440,12.37,9.79,11.08,
Peugot,four,sedan,four,97,19,24,11900,12.37,9.79,11.08,
Plymouth,two,hatchback,four,145,19,24,12764,12.37,9.79,11.08,
Porsche,two,convertible,six,207,17,25,37028,13.82,9.40,11.61,
Porsche,two,hardtop,six,207,17,25,34028,13.82,9.40,11.61,
Porsche,two,hardtop,six,207,17,25,32528,13.82,9.40,11.61,
Porsche,two,hatchback,four,143,19,27,22018,12.37,8.70,10.54,
Saab,four,sedan,four,160,19,26,18620,12.37,9.04,10.70,
Saab,two,hatchback,four,160,19,26,18150,12.37,9.04,10.70,
Saab,four,sedan,four,110,21,28,15510,11.19,8.39,9.79,
Saab,two,hatchback,four,110,21,28,15040,11.19,8.39,9.79,
Saab,four,sedan,four,110,21,28,12170,11.19,8.39,9.79,
Saab,two,hatchback,four,110,21,28,11850,11.19,8.39,9.79,
Subaru,four,wagon,four,111,23,23,11694,10.22,10.22,10.22,
Subaru,four,sedan,four,111,24,29,11259,9.79,8.10,8.95,
Subaru,four,wagon,four,94,25,31,10198,9.40,7.58,8.49,
Toyota,two,convertible,four,116,24,30,17669,9.79,7.83,8.81,
Toyota,two,hatchback,six,161,20,24,16558,11.75,9.79,10.77,
Toyota,two,hatchback,six,161,19,24,15998,12.37,9.79,11.08,
Toyota,four,wagon,six,156,19,24,15750,12.37,9.79,11.08,
Toyota,four,sedan,six,156,20,24,15690,11.75,9.79,10.77,
Toyota,two,hatchback,four,116,24,30,11549,9.79,7.83,8.81,
Toyota,four,hatchback,four,92,27,32,11248,8.70,7.34,8.02,
Toyota,two,hardtop,four,116,24,30,11199,9.79,7.83,8.81,
Toyota,four,sedan,four,92,27,32,10898,8.70,7.34,8.02,
Toyota,four,sedan,four,73,30,33,10698,7.83,7.12,7.48,
Volkswagen,four,sedan,four,68,33,38,13845,7.12,6.18,6.65,
Volkswagen,four,sedan,five,110,19,24,13295,12.37,9.79,11.08,
Volkswagen,four,wagon,four,88,25,31,12290,9.40,7.58,8.49,
Volkswagen,two,convertible,four,90,24,29,11595,9.79,8.10,8.95,
Volvo,four,sedan,four,114,19,25,22625,12.37,9.40,10.88,
Volvo,four,sedan,six,106,26,27,22470,9.04,8.70,8.87,
Volvo,four,sedan,six,134,18,23,21485,13.06,10.22,11.64,
Volvo,four,sedan,four,160,19,25,19045,12.37,9.40,10.88,
Volvo,four,wagon,four,162,17,22,18950,13.82,10.68,12.25,
Volvo,four,sedan,four,162,17,22,18420,13.82,10.68,12.25,
Volvo,four,sedan,four,114,23,28,16845,10.22,8.39,9.31,
Volvo,four,wagon,four,114,24,28,16515,9.79,8.39,9.09,
Volvo,four,sedan,four,114,24,28,15985,9.79,8.39,9.09,
Volvo,four,wagon,four,114,23,28,13415,10.22,8.39,9.31,
Volvo,four,sedan,four,114,23,28,12940,10.22,8.39,9.31,
